TWPS,I2C_Speed (Hz),TWBR
1.0,107000.0,16.0
1.0,108000.0,16.0
1.0,109000.0,16.0
1.0,110000.0,16.0
1.0,111000.0,16.0
1.0,112000.0,15.0
1.0,113000.0,15.0
1.0,114000.0,15.0
1.0,115000.0,15.0
1.0,116000.0,15.0
1.0,117000.0,15.0
1.0,118000.0,14.0
1.0,119000.0,14.0
1.0,120000.0,14.0
1.0,121000.0,14.0
1.0,122000.0,14.0
1.0,123000.0,14.0
1.0,124000.0,14.0
1.0,125000.0,14.0
1.0,126000.0,13.0
1.0,127000.0,13.0
1.0,128000.0,13.0
1.0,129000.0,13.0
1.0,130000.0,13.0
1.0,131000.0,13.0
1.0,132000.0,13.0
1.0,133000.0,13.0
1.0,134000.0,12.0
1.0,135000.0,12.0
1.0,136000.0,12.0
1.0,137000.0,12.0
1.0,138000.0,12.0
1.0,139000.0,12.0
1.0,140000.0,12.0
1.0,141000.0,12.0
1.0,142000.0,12.0
1.0,143000.0,11.0
1.0,144000.0,11.0
1.0,145000.0,11.0
1.0,146000.0,11.0
1.0,147000.0,11.0
1.0,148000.0,11.0
1.0,149000.0,11.0
1.0,150000.0,11.0
1.0,151000.0,11.0
1.0,152000.0,11.0
1.0,153000.0,11.0
1.0,154000.0,10.0
1.0,155000.0,10.0
1.0,156000.0,10.0
1.0,157000.0,10.0
1.0,158000.0,10.0
1.0,159000.0,10.0
1.0,160000.0,10.0
1.0,161000.0,10.0
1.0,162000.0,10.0
1.0,163000.0,10.0
1.0,164000.0,10.0
1.0,165000.0,10.0
1.0,166000.0,10.0
2.0,1000.0,499.0
2.0,2000.0,249.0
2.0,3000.0,166.0
2.0,4000.0,124.0
2.0,5000.0,99.0
2.0,6000.0,82.0
2.0,7000.0,70.0
2.0,8000.0,62.0
2.0,9000.0,55.0
2.0,10000.0,49.0
2.0,11000.0,44.0
2.0,12000.0,41.0
2.0,13000.0,37.0
2.0,14000.0,35.0
2.0,15000.0,32.0
2.0,16000.0,30.0
2.0,17000.0,28.0
2.0,18000.0,27.0
2.0,19000.0,25.0
2.0,20000.0,24.0
2.0,21000.0,23.0
2.0,22000.0,22.0
2.0,23000.0,21.0
2.0,24000.0,20.0
2.0,25000.0,19.0
2.0,26000.0,18.0
2.0,27000.0,18.0
2.0,28000.0,17.0
2.0,29000.0,16.0
2.0,30000.0,16.0
2.0,31000.0,15.0
2.0,32000.0,15.0
2.0,33000.0,14.0
2.0,34000.0,14.0
2.0,35000.0,13.0
2.0,36000.0,13.0
2.0,37000.0,13.0
2.0,38000.0,12.0
2.0,39000.0,12.0
2.0,40000.0,12.0
2.0,41000.0,11.0
2.0,42000.0,11.0
2.0,43000.0,11.0
2.0,44000.0,10.0
2.0,45000.0,10.0
2.0,46000.0,10.0
2.0,47000.0,10.0
3.0,1000.0,124.0
3.0,2000.0,62.0
3.0,3000.0,41.0
3.0,4000.0,31.0
3.0,5000.0,24.0
3.0,6000.0,20.0
3.0,7000.0,17.0
3.0,8000.0,15.0
3.0,9000.0,13.0
3.0,10000.0,12.0
3.0,11000.0,11.0
3.0,12000.0,10.0
